meritocracy	ginicnty	income_i	income_cnty	black_cnty	perc_bush04	pop_cnty	educ_i	age_i	gender_i	white	unemp_i	union_i	partyid_i	ideo_i	attend_i	fips	survid2006	survid2007	survid2009
0	0.32971012592315674	0.9015387892723083	0.5845285058021545	0.01653570681810379	0.6299999952316284	0.03387979418039322	0.8333333134651184	75	1	0	1	0	1	0.5	0	6061	0	0	1
0	0.32971012592315674	1	0.5845285058021545	0.01653570681810379	0.6299999952316284	0.03387979418039322	0.8333333134651184	30	0	1	0	0	1	0.25	0.4000000059604645	6061	1	0	0
0	0.32971012592315674	0.7046164274215698	0.5845285058021545	0.01653570681810379	0.6299999952316284	0.03387979418039322	1	50	0	1	0	1	0	0.25	0.20000000298023224	6061	0	0	0
0	0.32971012592315674	0.606155276298523	0.5845285058021545	0.01653570681810379	0.6299999952316284	0.03387979418039322	0.3333333432674408	44	1	1	0	0	0.25	0	0	6061	1	0	0
1	0.32971012592315674	0.3107717037200928	0.5845285058021545	0.01653570681810379	0.6299999952316284	0.03387979418039322	0.3333333432674408	23	1	0	1	0	0.25	0.75	0.4000000059604645	6061	0	0	1
0	0.32971012592315674	0.7046164274215698	0.5845285058021545	0.01653570681810379	0.6299999952316284	0.03387979418039322	0.1666666716337204	66	1	1	1	0	1	0.5	0.20000000298023224	6061	0	0	1
0	0.3260868787765503	0.3107717037200928	0.2732515335083008	0.010461370460689068	0.6200000047683716	0.0020435901824384928	0.6666666865348816	87	0	1	1	0	0.75	0.75	0.4000000059604645	6063	0	0	1
0	0.3260868787765503	0.606155276298523	0.2732515335083008	0.010461370460689068	0.6200000047683716	0.0020435901824384928	0.3333333432674408	30	1	1	0	0	0.75	0.5	0	6063	0	1	0
0	0.3260868787765503	0.41404804587364197	0.2732515335083008	0.010461370460689068	0.6200000047683716	0.0020435901824384928	0.3333333432674408	18	0	1	0	0	0.75	0.5	0.800000011920929	6063	0	0	1
0	0.39130428433418274	0.3107717037200928	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.8333333134651184	48	0	1	0	0	0.25	0.5	1	6065	0	0	1
0	0.39130428433418274	0.9015387892723083	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	1	68	1	0	1	0	0.75	0.5	0.4000000059604645	6065	0	0	1
1	0.39130428433418274	0.7046164274215698	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.3333333432674408	34	1	1	0	0	0.75	0.5	0.4000000059604645	6065	1	0	0
